Transaction Amount,Transaction Country,Transaction Currency,Transaction Time,Transaction Day,Card Issuer,Card Type,Online Purchase,First Purchase,Customer Age,Account Age,Fraudulent
3392,US,GBP,13,Weekday,Visa,Credit,1,0,59,6,0
9245,Other,AUD,23,Weekday,Amex,Credit,1,1,62,6,1
9207,AU,USD,23,Weekend,Amex,Debit,1,1,47,12,1
6754,CA,AUD,23,Weekday,Visa,Credit,1,1,23,11,1
9053,UK,USD,1,Weekend,Amex,Credit,1,1,45,0,1
4623,CA,AUD,16,Weekend,Amex,Credit,1,0,28,0,0
6103,UK,GBP,1,Weekend,Amex,Credit,1,1,67,5,1
3526,US,USD,17,Weekend,Discover,Debit,1,0,28,4,0
838,Other,AUD,8,Weekday,Visa,Debit,1,0,23,3,0
8536,Other,USD,1,Weekday,Amex,Credit,0,1,46,2,1
5673,UK,GBP,23,Weekend,Amex,Debit,1,1,20,0,1
908,AU,GBP,10,Weekday,MasterCard,Debit,0,0,59,5,0
615,UK,CAD,14,Weekday,Discover,Debit,1,0,38,11,0
3595,Other,USD,15,Weekday,Amex,Debit,0,0,64,10,0
8173,AU,USD,23,Weekend,Visa,Debit,1,1,69,5,1
4924,UK,AUD,13,Weekday,Visa,Debit,0,0,55,9,0
8318,CA,GBP,23,Weekend,Visa,Debit,1,1,23,9,1
654,UK,USD,9,Weekend,Visa,Credit,1,0,51,7,0
198,UK,AUD,18,Weekday,MasterCard,Debit,1,0,26,1,0
1102,US,GBP,12,Weekday,Visa,Credit,1,0,61,1,0
689,AU,AUD,14,Weekday,MasterCard,Credit,0,0,33,8,0
8397,CA,GBP,0,Weekday,Amex,Credit,1,1,30,2,1
7781,Other,AUD,0,Weekday,Discover,Credit,1,1,59,11,1
3530,Other,CAD,19,Weekend,Visa,Credit,1,0,22,4,0
5763,Other,GBP,0,Weekday,Discover,Credit,1,1,69,12,1
4489,UK,AUD,15,Weekend,Visa,Credit,0,0,37,9,0
9839,Other,AUD,0,Weekday,MasterCard,Credit,1,1,60,1,1
1673,US,CAD,9,Weekend,Visa,Debit,1,0,34,0,0
1684,Other,AUD,14,Weekday,Visa,Credit,1,0,62,5,0
4815,AU,CAD,14,Weekend,Discover,Credit,0,0,25,5,0
9634,Other,CAD,0,Weekday,MasterCard,Debit,1,1,47,12,1
6549,UK,AUD,23,Weekday,Amex,Credit,1,1,57,9,1
9737,Other,USD,23,Weekday,Amex,Credit,1,1,52,6,1
7849,AU,USD,0,Weekend,Amex,Debit,1,1,41,6,1
1273,UK,USD,10,Weekend,Amex,Credit,1,0,67,1,0
5086,CA,CAD,1,Weekday,Visa,Credit,1,1,44,11,1
1870,US,USD,10,Weekend,Amex,Debit,1,0,49,3,0
9643,Other,AUD,23,Weekend,Visa,Credit,0,1,67,9,1
9763,CA,AUD,0,Weekday,Amex,Credit,1,1,22,6,1
3530,US,AUD,11,Weekend,Visa,Credit,0,0,41,11,0
1706,Other,CAD,17,Weekday,MasterCard,Credit,0,0,18,7,0
7781,Other,GBP,23,Weekday,Discover,Credit,1,1,70,4,1
3769,CA,GBP,18,Weekend,Visa,Debit,0,0,20,0,0
9528,AU,CAD,0,Weekday,Amex,Debit,1,1,37,5,1
4475,UK,USD,12,Weekday,Discover,Debit,1,0,21,12,0
7492,AU,USD,1,Weekend,Discover,Debit,1,1,70,8,1
6689,Other,CAD,23,Weekday,Amex,Credit,1,1,68,0,1
5392,AU,CAD,23,Weekday,Discover,Credit,1,1,43,11,1
7128,Other,GBP,23,Weekday,Visa,Credit,1,1,19,10,1
9994,US,USD,0,Weekend,Discover,Credit,1,1,43,11,1
6760,AU,AUD,23,Weekend,Amex,Credit,0,1,63,6,1
291,UK,USD,11,Weekday,Discover,Debit,0,0,61,11,0
9188,UK,CAD,0,Weekend,Amex,Credit,1,1,26,10,1
200,Other,AUD,18,Weekday,Visa,Credit,1,0,42,12,0
5958,US,CAD,0,Weekend,Visa,Credit,1,1,65,5,1
4933,US,GBP,16,Weekend,MasterCard,Credit,1,0,38,7,0
5102,US,CAD,1,Weekend,Visa,Credit,1,1,19,2,1
3525,US,CAD,12,Weekend,MasterCard,Debit,0,0,29,11,0
8243,AU,USD,0,Weekday,Discover,Credit,1,1,28,1,1
8254,UK,AUD,23,Weekend,Visa,Credit,1,1,38,0,1
9541,CA,CAD,0,Weekday,Visa,Credit,1,1,61,0,1
3493,UK,USD,8,Weekday,Visa,Credit,0,0,20,3,0
2654,US,CAD,12,Weekend,Discover,Debit,1,0,50,4,0
9643,AU,USD,23,Weekend,Visa,Credit,1,1,68,7,1
6586,Other,AUD,0,Weekend,Amex,Credit,1,1,40,11,1
1300,AU,GBP,10,Weekday,Amex,Debit,0,0,49,0,0
5272,CA,CAD,1,Weekend,MasterCard,Debit,1,1,18,10,1
4210,US,CAD,12,Weekend,Discover,Debit,0,0,39,1,0
4221,Other,USD,9,Weekday,Amex,Debit,0,0,67,5,0
7770,Other,CAD,0,Weekday,Amex,Credit,1,1,34,0,1
3535,CA,AUD,8,Weekday,Discover,Debit,1,0,26,2,0
6399,Other,GBP,0,Weekend,Amex,Credit,1,1,34,4,1
5286,UK,CAD,23,Weekday,Amex,Credit,1,1,22,10,1
5134,AU,GBP,1,Weekend,Discover,Debit,1,1,57,6,1
5074,Other,GBP,0,Weekday,Amex,Debit,1,1,57,4,1
3056,UK,GBP,18,Weekend,Visa,Debit,1,0,41,3,0
8285,Other,CAD,0,Weekday,MasterCard,Credit,1,1,42,10,1
555,UK,GBP,14,Weekend,Amex,Credit,1,0,54,0,0
874,Other,CAD,10,Weekend,Visa,Debit,0,0,61,9,0
6696,CA,AUD,0,Weekend,Discover,Credit,1,1,45,7,1
1974,UK,AUD,8,Weekday,Amex,Debit,1,0,37,7,0
5826,AU,USD,0,Weekend,Amex,Debit,1,1,47,12,1
1966,AU,USD,15,Weekend,Amex,Debit,1,0,39,2,0
9524,AU,AUD,23,Weekday,Amex,Debit,1,1,53,10,1
1613,US,USD,19,Weekend,Discover,Debit,1,0,50,9,0
7078,UK,CAD,0,Weekday,Amex,Credit,1,1,36,6,1
8813,US,USD,0,Weekend,Amex,Credit,1,1,21,3,1
9154,US,AUD,23,Weekday,MasterCard,Credit,1,1,21,3,1
1585,UK,USD,8,Weekend,MasterCard,Credit,0,0,45,10,0
4392,US,CAD,11,Weekday,Visa,Debit,1,0,55,12,0
3867,AU,USD,14,Weekday,Visa,Debit,1,0,55,3,0
1547,AU,GBP,19,Weekend,Discover,Debit,1,0,38,1,0
3126,AU,CAD,12,Weekday,Amex,Debit,1,0,22,8,0
